bugID,sd,cl,pd,co,rp,os,bs,rs,pr,bsr,clean_description
550000,PDE quickfix creates invalid @Since tag,Eclipse Project,PDE,API Tools,PC,Linux,VERIFIED,FIXED,P3,normal,pde quickfix creates invalid since tag
550001,Grant access to projects storage service to the Jenkins instance of project TEA,Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,DUPLICATE,P3,normal,grant access to projects storage service to the jenkins instance of project tea
550002,Add relation information to REST-API,Automotive,MDMBL,General,All,All,CLOSED,FIXED,P3,major,add relation information to restapi
550003,Provide platform independent plug-in to set the OS dark theme,Eclipse Project,Platform,UI,PC,Linux,CLOSED,DUPLICATE,P3,normal,provide platform independent plugin to set the os dark theme
550004,"Inline method refacting reports ""Inaccurate references to method found""",Eclipse Project,JDT,UI,PC,Linux,RESOLVED,WORKSFORME,P3,normal,inline method refacting reports inaccurate references to method found
550005,Call Hierarchy incorrectly includes binary artifacts,Eclipse Project,JDT,Core,PC,Linux,VERIFIED,WORKSFORME,P3,normal,call hierarchy incorrectly includes binary artifacts
550006,Run APIAnalysisBuilder only when the contents of the preference file has changed,Eclipse Project,PDE,API Tools,PC,Windows 7,NEW,,P3,normal,run apianalysisbuilder only when the contents of the preference file has changed
550007,Run PDE compiler only when the contents of the preference file has changed,Eclipse Project,PDE,UI,PC,Windows 7,NEW,,P3,normal,run pde compiler only when the contents of the preference file has changed
550008,UI freezes in PluginsView,Eclipse Project,PDE,UI,PC,Linux,VERIFIED,FIXED,P3,normal,ui freezes in pluginsview
550009,UI freeze in org.eclipse.ui.dialogs.FilteredTree,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,ui freeze in orgeclipseuidialogsfilteredtree
550010,CPD dialog should have a consistent usage of setUseHashlookup for menu and action tree viewer,Eclipse Project,Platform,UI,PC,All,RESOLVED,FIXED,P3,normal,cpd dialog should have a consistent usage of setusehashlookup for menu and action tree viewer
550011,"OpenJ9: Git failing on master, builds blocked",Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,FIXED,P3,critical,openj9 git failing on master builds blocked
550012,OpenJ9 Badge plugin not working,Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,FIXED,P3,normal,openj9 badge plugin not working
550013,OpenJ9 Pull requests flooded with comments from Jenkins,Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,FIXED,P3,normal,openj9 pull requests flooded with comments from jenkins
550014,Cant import existing local git project,Technology,EGit,UI,PC,Windows 10,NEW,,P3,normal,cant import existing local git project
550016,Remove ResourceNavigator from Show-in menu,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,remove resourcenavigator from showin menu
550017,[StyledText] Disabling StyledText moves insertion position to 0,Eclipse Project,Platform,SWT,PC,Linux,VERIFIED,FIXED,P3,normal,styledtext disabling styledtext moves insertion position to 0
550018,Project Explorer loses last selected working set,Eclipse Project,Platform,UI,PC,Windows 10,CLOSED,WONTFIX,P3,normal,project explorer loses last selected working set
550019,Go build on Codewind failed with signal killed,Eclipse Foundation,Community,CI-Jenkins,PC,Mac OS X,CLOSED,WORKSFORME,P3,normal,go build on codewind failed with signal killed
550020,quick search preview area too small,Eclipse Project,Platform,Text,PC,Windows 10,RESOLVED,FIXED,P3,trivial,quick search preview area too small
550021,Wrong tooltips quicksearch preference page,Eclipse Project,Platform,Text,PC,Windows 10,RESOLVED,FIXED,P3,trivial,wrong tooltips quicksearch preference page
550022,[GTK] Long delay in deleting all items from a virtual table,Eclipse Project,Platform,SWT,PC,Linux,NEW,,P3,normal,gtk long delay in deleting all items from a virtual table
550023,Use setUseHashlookup in internal org.eclipse.e4.ui.dialogs.filteredtree.FilteredTree,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,use setusehashlookup in internal orgeclipsee4uidialogsfilteredtreefilteredtree
550024,Update find_strings query to show detailed progress,Tools,MAT,Core,PC,Mac OS X,RESOLVED,FIXED,P3,normal,update findstrings query to show detailed progress
550025,OpenJ9 CI IOException: cannot allocation memory for RandomAccessFile,Eclipse Foundation,Community,CI-Jenkins,PC,Mac OS X,CLOSED,FIXED,P3,normal,openj9 ci ioexception cannot allocation memory for randomaccessfile
550026,Use e4 FilteredTree in LogView,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,use e4 filteredtree in logview
550027,Use e4 FilteredTree in ShowView dialog,Eclipse Project,Platform,UI,PC,Linux,CLOSED,WONTFIX,P3,normal,use e4 filteredtree in showview dialog
550028,Use e4 FilteredTree in InstalledIUGroup,Eclipse Project,Equinox,p2,PC,Linux,RESOLVED,FIXED,P3,normal,use e4 filteredtree in installediugroup
550029,multiple layout issues in launch configuration dialog,Eclipse Project,Platform,Debug,PC,Windows 10,CLOSED,WONTFIX,P3,minor,multiple layout issues in launch configuration dialog
550030,Release e4 FilteredTree as API,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,release e4 filteredtree as api
550031,[Quicksearch] superfluous slash in path,Eclipse Project,Platform,UI,PC,Windows 10,RESOLVED,FIXED,P3,trivial,quicksearch superfluous slash in path
550032,[test][12] disagreements vs. javac at 12,Eclipse Project,JDT,Core,PC,Linux,NEW,,P3,normal,test12 disagreements vs javac at 12
550033,Redirect to relative path is blocked,Technology,JGit,JGit,PC,Mac OS X,RESOLVED,FIXED,P3,normal,redirect to relative path is blocked
550034,Use project scheduling rule for PluginModelManager job,Eclipse Project,PDE,UI,PC,Linux,NEW,,P3,normal,use project scheduling rule for pluginmodelmanager job
550035,Remove unnecessary activator WebBrowserTestsPlugin,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,remove unnecessary activator webbrowsertestsplugin
550036,Update application model code (EMF) with the fixes for Bug 548575 and Bug 546714,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,update application model code emf with the fixes for bug 548575 and bug 546714
550037,Use StringBuilder instead of StringBuffer in eclipse.platform.ua,Eclipse Project,Platform,User Assistance,PC,Linux,RESOLVED,FIXED,P3,normal,use stringbuilder instead of stringbuffer in eclipseplatformua
550038,Investigate if forced activation in InternalPlatform#start is still necessary,Eclipse Project,Platform,Runtime,PC,All,RESOLVED,FIXED,P3,normal,investigate if forced activation in internalplatformstart is still necessary
550039,Y build showing comparator error in platform.ua for jsp files,Eclipse Project,Platform,Releng,All,All,RESOLVED,WONTFIX,P3,normal,y build showing comparator error in platformua for jsp files
550040,Eclipse Genie fails to create CQ repeatedly,Eclipse Foundation,Community,Gerrit,PC,Windows 10,RESOLVED,FIXED,P3,major,eclipse genie fails to create cq repeatedly
550041,Cannot set a decorator to change the width of connections,Modeling,Graphiti,Core,All,All,ASSIGNED,,P3,enhancement,cannot set a decorator to change the width of connections
550042,[Quicksearch] Ignored file extensions must be checked case insensitive,Eclipse Project,Platform,UI,PC,Windows 10,RESOLVED,FIXED,P3,minor,quicksearch ignored file extensions must be checked case insensitive
550043,Release preparations for v0.7.0,Technology,Ease,General,All,All,CLOSED,FIXED,P3,normal,release preparations for v070
550044,2 compile warnings in official build,Eclipse Project,JDT,UI,All,All,VERIFIED,FIXED,P3,normal,2 compile warnings in official build
550045,[C++ CodeGen] Should enable to call a method via reference in the entry behavior of a the starting state of state machine,Modeling,Papyrus,Designer,PC,Windows 10,ASSIGNED,,P3,normal,c codegen should enable to call a method via reference in the entry behavior of a the starting state of state machine
550046,Remove copied TextUtils again,Modeling,ECP,EMF Forms,All,All,NEW,,P3,minor,remove copied textutils again
550047,EASE JIPP does not trigger on gerrit commits,Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,FIXED,P3,normal,ease jipp does not trigger on gerrit commits
550048,"Remove ""Are you sure you want to "" from text",Eclipse Project,Platform,Debug,PC,Linux,RESOLVED,WONTFIX,P3,normal,remove are you sure you want to from text
550049,"Remove ""Are you sure you want to "" from text",Eclipse Project,PDE,UI,PC,Linux,VERIFIED,FIXED,P3,normal,remove are you sure you want to from text
550050,All coonections are black in the editor that is open at start,IoT,4DIAC,4DIAC-IDE,PC,Windows 10,CLOSED,FIXED,P3,normal,all coonections are black in the editor that is open at start
550051,Engine termination should be improved,Technology,Ease,Engines,All,All,CLOSED,FIXED,P3,normal,engine termination should be improved
550052,"Remove ""Are you sure you want to "" from text",Eclipse Project,Equinox,p2,PC,Linux,RESOLVED,FIXED,P3,normal,remove are you sure you want to from text
550053,http://www.eclipse.org/QVT/1.0.0/Operational is not properly registered.,Modeling,QVTo,Engine,PC,Windows 10,RESOLVED,FIXED,P3,normal,httpwwweclipseorgqvt100operational is not properly registered
