bugID,sd,cl,pd,co,rp,os,bs,rs,pr,bsr,clean_description,processed_text
550000,PDE quickfix creates invalid @Since tag,Eclipse Project,PDE,API Tools,PC,Linux,VERIFIED,FIXED,P3,normal,pde quickfix creates invalid since tag,pde quickfix create invalid since tag
550001,Grant access to projects storage service to the Jenkins instance of project TEA,Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,DUPLICATE,P3,normal,grant access to projects storage service to the jenkins instance of project tea,grant access project storage service jenkin instance project tea
550002,Add relation information to REST-API,Automotive,MDMBL,General,All,All,CLOSED,FIXED,P3,major,add relation information to restapi,add relation information restapi
550003,Provide platform independent plug-in to set the OS dark theme,Eclipse Project,Platform,UI,PC,Linux,CLOSED,DUPLICATE,P3,normal,provide platform independent plugin to set the os dark theme,provide platform independent plugin set os dark theme
550004,"Inline method refacting reports ""Inaccurate references to method found""",Eclipse Project,JDT,UI,PC,Linux,RESOLVED,WORKSFORME,P3,normal,inline method refacting reports inaccurate references to method found,inline method refacting report inaccurate reference method find
550005,Call Hierarchy incorrectly includes binary artifacts,Eclipse Project,JDT,Core,PC,Linux,VERIFIED,WORKSFORME,P3,normal,call hierarchy incorrectly includes binary artifacts,call hierarchy incorrectly include binary artifact
550006,Run APIAnalysisBuilder only when the contents of the preference file has changed,Eclipse Project,PDE,API Tools,PC,Windows 7,NEW,,P3,normal,run apianalysisbuilder only when the contents of the preference file has changed,run apianalysisbuilder content preference file change
550007,Run PDE compiler only when the contents of the preference file has changed,Eclipse Project,PDE,UI,PC,Windows 7,NEW,,P3,normal,run pde compiler only when the contents of the preference file has changed,run pde compiler content preference file change
550008,UI freezes in PluginsView,Eclipse Project,PDE,UI,PC,Linux,VERIFIED,FIXED,P3,normal,ui freezes in pluginsview,ui freeze pluginsview
550009,UI freeze in org.eclipse.ui.dialogs.FilteredTree,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,ui freeze in orgeclipseuidialogsfilteredtree,ui freeze orgeclipseuidialogsfilteredtree
550010,CPD dialog should have a consistent usage of setUseHashlookup for menu and action tree viewer,Eclipse Project,Platform,UI,PC,All,RESOLVED,FIXED,P3,normal,cpd dialog should have a consistent usage of setusehashlookup for menu and action tree viewer,cpd dialog consistent usage setusehashlookup menu action tree viewer
550011,"OpenJ9: Git failing on master, builds blocked",Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,FIXED,P3,critical,openj9 git failing on master builds blocked,git fail master build block
550012,OpenJ9 Badge plugin not working,Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,FIXED,P3,normal,openj9 badge plugin not working,badge plugin working
550013,OpenJ9 Pull requests flooded with comments from Jenkins,Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,FIXED,P3,normal,openj9 pull requests flooded with comments from jenkins,pull request flood comment jenkin
550014,Cant import existing local git project,Technology,EGit,UI,PC,Windows 10,NEW,,P3,normal,cant import existing local git project,can not import exist local git project
550016,Remove ResourceNavigator from Show-in menu,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,remove resourcenavigator from showin menu,remove resourcenavigator showin menu
550017,[StyledText] Disabling StyledText moves insertion position to 0,Eclipse Project,Platform,SWT,PC,Linux,VERIFIED,FIXED,P3,normal,styledtext disabling styledtext moves insertion position to 0,styledtext disable styledtext move insertion position
550018,Project Explorer loses last selected working set,Eclipse Project,Platform,UI,PC,Windows 10,CLOSED,WONTFIX,P3,normal,project explorer loses last selected working set,project explorer lose last select working set
